TiNbZrCu_9	
2θ, °	Intensity, counts
48.92	1593.256
48.94	1661.907
48.96	1817.791
48.98	1690.105
49	1757.867
49.02	1752.699
49.04	1698.237
49.06	1681.793
49.08	1676.07
49.1	1706.015
49.12	1721.055
49.14	1716.786
49.16	1695.533
49.18	1715.863
49.2	1668.395
49.22	1635.186
49.24	1642.511
49.26	1682.929
49.28	1716.187
49.3	1750.155
49.32	1699.506
49.34	1713.759
49.36	1718.921
49.38	1710.292
49.4	1695.058
49.42	1663.736
49.44	1754.627
49.46	1703.907
49.48	1739.62
49.5	1633.272
49.52	1650.226
49.54	1686.087
49.56	1753.522
49.58	1691.487
49.6	1653.211
49.62	1772.673
49.64	1709.565
49.66	1705.818
49.68	1674.374
49.7	1634.677
49.72	1678.641
49.74	1755.16
49.76	1685.014
49.78	1754.024
49.8	1611.584
49.82	1609.602
49.84	1765.626
49.86	1758.028
49.88	1734.832
49.9	1717.413
49.92	1753.911
49.94	1690.647
49.96	1714.26
49.98	1705.272
50	1758.051
50.02	1836.715
50.04	1789.113
50.06	1730.425
50.08	1777.001
50.1	1742.781
50.12	1810.572
50.14	1830.867
50.16	1734.644
50.18	1831.357
50.2	1741.005
50.22	1779.636
50.24	1736.301
50.26	1766.711
50.28	1787.685
50.3	1793.257
50.32	1755.81
50.34	1770.793
50.36	1841.627
50.38	1774.853
50.4	1845.569
50.42	1816.888
50.44	1837.005
50.46	1809.018
50.48	1888.263
50.5	1783.002
50.52	1828.407
50.54	1802.05
50.56	1887.223
50.58	1945.436
50.6	1864.139
50.62	1884.292
50.64	1822.882
50.66	1850.645
50.68	1880.916
50.7	1827.383
50.72	1774.603
50.74	1864.21
50.76	1895.302
50.78	1855.385
50.8	1881.312
50.82	1830.891
50.84	1807.216
50.86	1891.247
50.88	1769.722
50.9	1852.447
50.92	1812.894
50.94	1777.667
50.96	1732.955
50.98	1723.11
51	1809.071
51.02	1746.207
51.04	1691.453
51.06	1710.454
51.08	1704.966
51.1	1786.604
51.12	1743.299
51.14	1762.534
51.16	1663.533
51.18	1751.077
51.2	1674.653
51.22	1679.472
51.24	1700.096
51.26	1689.944
51.28	1734.641
51.3	1684.559
51.32	1645.16
51.34	1661.234
51.36	1645.83
51.38	1715.969
51.4	1665.932
51.42	1589.466
51.44	1647.041
51.46	1594.769
51.48	1585.377
51.5	1596.103
51.52	1626.599
51.54	1636.507
51.56	1593.892
51.58	1612.366
51.6	1552.128
51.62	1628.445
51.64	1622.122
51.66	1648.34
51.68	1599.349
51.7	1530.936
51.72	1532.798
51.74	1594.02
51.76	1586.077
51.78	1604.295
51.8	1575.294
51.82	1620.192
51.84	1628.337
51.86	1595.344
51.88	1615.668
51.9	1677.419
51.92	1642.358
51.94	1593.905
51.96	1544.582
51.98	1578.851
52	1584.23
52.02	1553.632
52.04	1605.333
52.06	1644.776
52.08	1632.911
52.1	1600.263
52.12	1578.194
52.14	1636.029
52.16	1551.116
52.18	1608.146
52.2	1572.94
52.22	1592.728
52.24	1617.589
52.26	1571.205
52.28	1547.02
52.3	1558.624
52.32	1609.426
52.34	1578.025
52.36	1583.129
52.38	1528.546
52.4	1576.813
52.42	1546.685
52.44	1584.937
52.46	1591.207
52.48	1608.509
52.5	1580.878
52.52	1564.474
52.54	1608.016
52.56	1635.527
52.58	1592.006
52.6	1605.02
52.62	1612.085
52.64	1529.609
52.66	1594.075
52.68	1513.004
52.7	1540.906
52.72	1527.238
52.74	1557.634
52.76	1611.68
52.78	1525.043
52.8	1548.667
52.82	1498.231
52.84	1617.587
52.86	1556.592
52.88	1518.732
52.9	1581.216
52.92	1525.881
52.94	1587.656
52.96	1564.327
52.98	1541.908
53	1618.234
53.02	1526.267
53.04	1523.015
53.06	1579.725
53.08	1649.178
53.1	1537.818
53.12	1469.636
53.14	1535.868
53.16	1551.382
53.18	1547.073
53.2	1475.391
53.22	1551.82
53.24	1569.059
53.26	1556.7
53.28	1526.798
53.3	1615.438
53.32	1538.034
53.34	1575.055
53.36	1569.162
53.38	1558.298
53.4	1609.016
53.42	1506.405
53.44	1574.234
53.46	1579.561
53.48	1592.791
53.5	1605.143
53.52	1555.171
53.54	1505.26
53.56	1564.63
53.58	1579.657
53.6	1585.197
53.62	1550.308
53.64	1496.6
53.66	1571.852
53.68	1539.365
53.7	1564.886
53.72	1534.701
53.74	1479.246
53.76	1617.966
53.78	1577.317
53.8	1588.151
53.82	1603.577
53.84	1501.257
53.86	1553.918
53.88	1501.871
53.9	1599.274
53.92	1604.566
53.94	1535.224
53.96	1551.29
53.98	1480.232
54	1543.042
54.02	1626.229
54.04	1559.175
54.06	1531.682
54.08	1547.925
54.1	1598.684
54.12	1580.678
54.14	1529.869
54.16	1490.642
54.18	1632.544
54.2	1571.699
54.22	1507.836
54.24	1597.334
54.26	1525.468
54.28	1584.002
54.3	1546.913
54.32	1549.737
54.34	1576.238
54.36	1607.185
54.38	1532.872
54.4	1597.08
54.42	1551.309
54.44	1573.732
54.46	1596.74
54.48	1545.753
54.5	1560.518
54.52	1639.34
54.54	1582.764
54.56	1628.4
54.58	1632.504
54.6	1559.163
54.62	1656.637
54.64	1584.828
54.66	1596.15
54.68	1651.27
54.7	1576.042
54.72	1571.977
54.74	1564.107
54.76	1632.76
54.78	1693.03
54.8	1580.065
54.82	1695.763
54.84	1673.91
54.86	1649.449
54.88	1559.893
54.9	1622.765
54.92	1612.229
54.94	1689.432
54.96	1647.86
54.98	1621.125
55	1702.158
55.02	1734.834
55.04	1695.436
55.06	1642.745
55.08	1661.426
55.1	1699.207
55.12	1733.824
55.14	1623.977
55.16	1762.12
55.18	1749.014
55.2	1816.75
55.22	1754.491
55.24	1792.098
55.26	1758.265
55.28	1831.378
55.3	1859.465
55.32	1804.488
55.34	1828.2
55.36	1786.026
55.38	1852.863
55.4	1927.155
55.42	1947.885
55.44	1946.513
55.46	1935.663
55.48	2033.143
55.5	2034.487
55.52	2053.287
55.54	2183.809
55.56	2153.139
55.58	2212.768
55.6	2264.688
55.62	2424.085
55.64	2532.973
55.66	2792.361
55.68	2901.529
55.7	3227.636
55.72	3733.195
55.74	4403.955
55.76	5075.125
55.78	5896.621
55.8	6345.479
55.82	6548.193
55.84	6296.016
55.86	5804.175
55.88	5294.731
55.9	5038.517
55.92	4812.388
55.94	4838.204
55.96	4845.335
55.98	4640.614
56	4131.052
56.02	3625.144
56.04	3161.678
56.06	2850.273
56.08	2673.971
56.1	2418.033
56.12	2328.317
56.14	2313.343
